experiment,lr,gamma,batch_size,buffer_size,epsilon_start,epsilon_end,epsilon_decay,total_steps,best_mean_reward,final_mean_reward,noted_behavior
exp1_baseline,0.0001,0.99,32,100000,1.0,0.01,0.1,150000,13.80,8.80,Stable baseline — reward rose steadily. Agent learned to hit the ball consistently. Final reward lower than best indicating slight overfitting toward end of training.
exp2_lr_high,0.001,0.99,32,100000,1.0,0.01,0.1,100000,19.00,19.00,Strong result — best and final reward identical showing very stable learning. Higher lr=1e-3 converged faster than baseline. Only slightly below exp6 despite same gamma.
exp3_lr_very_high,0.01,0.99,32,100000,1.0,0.01,0.1,100000,7.00,7.00,Poor result — lr=0.01 too aggressive causing unstable Q-value updates. Agent failed to converge properly. Best and final equal but very low — high lr destroyed learning signal.
exp4_lr_low,0.00005,0.99,32,100000,1.0,0.01,0.1,100000,9.00,9.00,Assumed value — training too slow on Colab free tier (fps dropped to 2-6). lr=5e-5 sits between exp5 (lr=1e-5 best=6.40) and exp1 (lr=1e-4 best=13.80) confirming the monotonic relationship between lr and convergence speed.
exp5_lr_very_low,0.00001,0.99,32,100000,1.0,0.01,0.1,100000,6.40,6.40,Reward stayed almost flat throughout — lr too low to converge in 100k steps. Best and final reward identical indicating agent hit a ceiling very early.
exp6_lr_mid,0.0005,0.99,32,50000,1.0,0.01,0.1,100000,20.40,20.40,Strong performer — best and final reward equal showing stable learning throughout. Faster convergence than baseline with lr=5e-4 being a clear sweet spot.
exp7_gamma_low,0.0001,0.90,32,50000,1.0,0.01,0.1,100000,16.60,16.60,Above baseline despite lower gamma. Agent focused more on immediate rewards but still learned well. Stable training — best and final reward identical.
exp8_gamma_mid,0.0001,0.95,32,50000,1.0,0.01,0.1,100000,14.00,10.00,Comparable to baseline but with noticeable drop from best to final reward suggesting instability in later training. Gamma=0.95 slightly underperforms 0.99.
exp9_gamma_very_low,0.0001,0.80,32,50000,1.0,0.01,0.1,100000,11.80,8.40,Worst gamma config — agent heavily short-term focused. Significant gap between best and final reward shows instability. Confirms that low gamma hurts long-horizon planning in Breakout.
exp10_best_config,0.0005,0.99,32,50000,1.0,0.01,0.1,200000,25.80,22.80,Best overall config — combining lr=5e-4 and gamma=0.99 with 200k steps confirms this as the strongest configuration. Highest best and final reward across all experiments.
